2
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=0.00).png,-80.976651,0.000000,-15.114552,-80.976651,-0.000000,15.114552
x0_(0 0 0 0 0 0)_x1_(0.5 0 0 0.5 0 0)_IMAGES/p0_(-53.27 0 -9.94 -53.27 0 9.94)_mu=0_STABLE=0-1.06(seg=1.51).png,-214.161933,0.000000,-39.974013,-214.161933,-0.000000,39.974013
1.79,-243.995435691532,4.0839084176035e-11,-45.5425322054742,-243.995435691532,-4.10231628398053e-11,45.5425322054741,1
1.8,-245.060917943448,3.89921773254892e-11,-45.7414078919587,-245.060917943449,-3.9118905705883e-11,45.7414078919587,1
1.81,-246.126400195365,3.75331645104116e-11,-45.9402835784434,-246.126400195365,-3.74604446854582e-11,45.9402835784434,1
1.82,-247.191882447282,3.58461950443825e-11,-46.1391592649279,-247.191882447281,-3.58846286019343e-11,46.1391592649279,1
1.83,-248.257364699198,3.46860761684178e-11,-46.3380349514126,-248.257364699198,-3.4710804217887e-11,46.3380349514126,1
1.84,-249.322846951116,3.28231801547535e-11,-46.5369106378973,-249.322846951116,-3.28865958987637e-11,46.5369106378973,1
1.85,-250.388329203033,3.14873198044643e-11,-46.7357863243819,-250.388329203033,-3.1539951097885e-11,46.735786324382,1
1.86,-251.45381145495,3.00888900383808e-11,-46.9346620108667,-251.45381145495,-3.01629838727474e-11,46.9346620108666,1
1.87,-252.519293706867,2.88659372012917e-11,-47.1335376973513,-252.519293706867,-2.88233450778871e-11,47.1335376973515,1
1.88,-253.584775958785,2.78798670347996e-11,-47.3324133838361,-253.584775958785,-2.78038239133471e-11,47.3324133838362,1
1.89,-254.650258210702,2.66227420967977e-11,-47.5312890703208,-254.650258210702,-2.67475477530588e-11,47.5312890703208,1
1.9,-255.71574046262,2.59847316190151e-11,-47.7301647568056,-255.71574046262,-2.59645339083237e-11,47.7301647568056,1
1.91,-256.781222714537,2.53386849263099e-11,-47.9290404432903,-256.781222714537,-2.54379086154707e-11,47.9290404432903,1
1.92,-257.846704966455,2.43287653477892e-11,-48.1279161297751,-257.846704966455,-2.41682216232074e-11,48.1279161297751,1
1.93,-258.912187218372,2.33262417628083e-11,-48.3267918162599,-258.912187218372,-2.32867437897737e-11,48.3267918162599,1
1.94,-259.97766947029,2.2982270492071e-11,-48.5256675027446,-259.97766947029,-2.279921455621e-11,48.5256675027447,1
